<details> <summary> <b>openwrt-passwall-packages new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
0e4b2c7|zxl hhyccc|Thu Aug 28 23:26:04 2025 +0800|trojan-plus: optimize `boost version` check. (#499)
dfdc4bd|github-actions[bot]|Thu Aug 28 19:13:57 2025 +0800|sing-box: update to 1.12.4 (#498)
3c53404|zxl hhyccc|Thu Aug 28 07:25:51 2025 +0800|trojan-plus: Optimize whether to automatically configure `boost-system` based on the `boost version` (#497)
e8628f1|zxl hhyccc|Wed Aug 27 23:59:29 2025 +0800|trojan-plus: Fix `boost 1.89 ver` build. (#495)
3aebc56|github-actions[bot]|Tue Aug 26 13:19:08 2025 +0800|v2ray-geosite: update to 202508252213 (#493)
971e52a|zhusir|Tue Aug 26 13:12:23 2025 +0800|ci: update lang package from openwrt packages master branch
4d0a296|github-actions[bot]|Sun Aug 24 17:00:11 2025 +0800|v2ray-geosite: update to 202508232212 (#490)
e5c8bcc|github-actions[bot]|Sun Aug 24 16:59:41 2025 +0800|v2ray-geoip: update to 202508210019 (#491)
</details>
