<details> <summary> <b>lede new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
87b5c15bb|coolsnowwolf|Tue Oct 21 10:49:07 2025 +0800|base-files: sync source with upstream
8fa17753d|coolsnowwolf|Tue Oct 21 10:06:24 2025 +0800|feeds.mk: add APK package build capabilities
8de0ea84b|coolsnowwolf|Tue Oct 21 09:40:29 2025 +0800|rpcd: update to Git HEAD (2025-10-03)
15c509a2b|coolsnowwolf|Mon Oct 20 18:04:45 2025 +0800|ubus: update to Git HEAD (2025-10-17)
416dab38c|coolsnowwolf|Mon Oct 20 18:00:35 2025 +0800|ubox: update to Git HEAD (2025-10-03)
019c66b16|coolsnowwolf|Mon Oct 20 17:53:31 2025 +0800|libnl: update to 3.11.0
b2a9125fb|coolsnowwolf|Mon Oct 20 17:47:34 2025 +0800|libnl-tiny: update to Git HEAD (2025-10-03)
275624e4b|coolsnowwolf|Mon Oct 20 17:35:08 2025 +0800|ucode: update to Git HEAD (2025-09-29)
5ca965517|Fu Jianrong|Mon Oct 20 15:17:18 2025 +0800|fix syntax error in ws3006/3009 case (#13759)
4e5d6e3dd|coolsnowwolf|Mon Oct 20 11:03:19 2025 +0800|wolfssl: Update to version 5.7.6
16450c8df|coolsnowwolf|Mon Oct 20 10:46:40 2025 +0800|mt76: refresh linux 6.x support patches
</details>
