<details> <summary> <b>openwrt new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
a65ca44cb7|Hauke Mehrtens|Sun Aug 24 17:21:54 2025 +0000|kernel: bump 6.6 to 6.6.102
406489fd83|Hauke Mehrtens|Sun Aug 24 14:48:46 2025 +0000|kernel: bump 6.6 to 6.6.101
03fe596699|Felix Fietkau|Wed Aug 27 15:24:29 2025 +0200|mac80211: extend connection monitoring for MLO
64bbe71219|Felix Fietkau|Thu Aug 14 18:43:48 2025 +0200|mt76: update to Git HEAD (2025-08-27)
5c37d1b9a7|Felix Fietkau|Sun Aug 24 07:18:43 2025 +0200|udebug: update to Git HEAD (2025-08-24)
3e0bcf3af7|Felix Fietkau|Sun Aug 17 11:11:42 2025 +0200|udebug: update to Git HEAD (2025-08-17)
c1a8e48f3b|Felix Fietkau|Fri Aug 15 17:32:56 2025 +0200|udebug: update to Git HEAD (2025-08-15)
76eb96c875|Felix Fietkau|Mon Aug 25 20:31:02 2025 +0200|wifi-scripts: fix reload handling with random macaddr
6bf869db0f|Hauke Mehrtens|Thu Aug 21 22:07:06 2025 +0200|kernel: Remove patch for fixed bug
c510f7e973|Stefan Dösinger|Sat Aug 9 17:29:38 2025 +0300|ramips: fix TP-Link mr600 radio partition offset
52ec0cbab8|Felix Golatofski|Mon Aug 4 16:59:39 2025 +0200|ath79: fix LED GPIOs for COMFAST CF-EW71 v2
7f68339963|Daniel Golle|Thu Jul 31 19:48:32 2025 +0100|kernel: add backport to fix broken PHY LEDs
2cffcdc7ae|Karsten Sperling|Mon Jul 21 16:25:03 2025 +1200|mbedtls: Expose MBEDTLS_KEY_EXCHANGE_ECJPAKE_ENABLED config option
f894fa971b|Hauke Mehrtens|Sun Jul 20 17:36:32 2025 +0200|mediatek: Remove modules.builtin file
bf0887bd42|Fengyu Wu|Sat Jul 19 18:57:05 2025 +0800|ca-certificates: Update to 20250419
fcaa4fdbbf|Bradley M. Kuhn|Fri Jul 11 13:13:36 2025 -0700|Note inspiration for this script to give credit where it's due
ba7b5d23f6|Jan Hoffmann|Fri Jul 11 20:31:29 2025 +0200|ltq-adsl-mei: check status register before reading mailbox messages
</details>
