<details> <summary> <b>packages new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
1eb4e1ad0|Dirk Brenken|Thu Apr 16 22:13:13 2026 +0200|banip: release 1.8.6-1
6a9044400|Alexandru Ardelean|Thu Apr 16 19:29:12 2026 +0300|python3: add no-mips16 to PKG_BUILD_FLAGS
969f18015|Federico Capoano|Fri Apr 10 20:47:42 2026 -0300|openwisp-config: update to 1.2.1
dfb74c299|Daniel F. Dickinson|Sun Apr 5 11:21:22 2026 -0400|watchcat: use logical network to fix restart_interface
4fcef808a|Daniel F. Dickinson|Sun Jan 25 04:48:15 2026 -0500|watchcat: fix interface reset does not work
f40706754|Olivier Poitrey|Mon Apr 13 02:01:07 2026 +0000|nextdns: update to version 1.47.2
722351eea|Daniel F. Dickinson|Tue Apr 7 21:12:23 2026 -0400|zabbix: update to 7.0.24
2f73d1b85|Daniel F. Dickinson|Tue Apr 7 21:10:01 2026 -0400|zabbix: tweak server configuration
a127b9d2e|Alexandru Ardelean|Thu Apr 9 08:32:33 2026 +0300|python3-greenlet: update to 3.4.0
435b41ff1|Alexandru Ardelean|Fri Mar 20 16:39:24 2026 +0000|python-greenlet: bump to 3.3.2
e263702a5|Rosen Penev|Fri Feb 6 16:37:14 2026 -0800|python-gevent: use LF for Makefile
440baa8d0|Rosen Penev|Thu Feb 5 19:40:11 2026 -0800|python-gevent: update to 25.9.1
3daf54dd6|Alexandru Ardelean|Fri Apr 10 18:30:15 2026 +0300|python-ubus: backport patch for newer Python
</details>
